"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18683,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18684,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18684,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18685,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18685,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18686,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18686,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18696,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18696,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18703,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18703,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
