"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","AttackedTermitePalatability"
18671,"BrownDB","DB",2018-10-31 00:05:41,"Brown","Consumed",2018-10-31 00:02:54,0,NA,167,0,1
18672,"BrownDB","Water",2018-10-31 00:02:40,"Green","Dropped",2018-10-31 00:02:16,0,NA,24,1,1
18672,"BrownDB","Water",2018-10-31 00:03:00,"Brown","Consumed",2018-10-31 00:02:16,0,NA,44,0,0
18673,"GreenDB","DB",2018-10-31 00:03:27,"Brown","Dropped",2018-10-31 00:02:28,0,NA,59,1,1
18673,"GreenDB","DB",2018-10-31 00:03:45,"Brown","Consumed",2018-10-31 00:02:28,0,NA,77,0,1
18675,"GreenDB","Water",2018-10-31 00:03:59,"Green","Consumed",2018-10-31 00:02:24,0,NA,95,0,0
18676,"BrownDB","DB",2018-10-31 00:02:23,"Brown","Consumed",2018-10-31 00:02:20,0,NA,3,0,0
18677,"BrownDB","Water",2018-10-31 00:02:20,"Green","Dropped",2018-10-31 00:02:09,0,NA,11,1,1
18677,"BrownDB","Water",2018-10-31 00:03:01,"Brown","Dropped",2018-10-31 00:02:09,0,NA,52,1,1
18677,"BrownDB","Water",2018-10-31 00:04:59,"Brown","Dropped",2018-10-31 00:02:09,0,NA,170,1,0
18677,"BrownDB","Water",2018-10-31 00:06:24,"Green","Consumed",2018-10-31 00:02:09,0,NA,255,0,1
18678,"GreenDB","DB",2018-10-31 00:03:28,"Brown","Consumed",2018-10-31 00:02:42,0,NA,46,0,1
18680,"GreenDB","Water",2018-10-31 00:03:16,"Green","Consumed",2018-10-31 00:02:55,0,NA,21,0,0
18681,"BrownDB","DB",2018-10-31 00:18:38,"Brown","Consumed",2018-10-31 00:02:54,0,NA,944,0,0
18683,"BrownDB","Water",2018-10-31 00:02:54,"Brown","Dropped",2018-10-31 00:02:53,0,NA,1,1,0
18683,"BrownDB","Water",2018-10-31 00:03:30,"Brown","Consumed",2018-10-31 00:02:53,0,NA,37,0,1
18684,"GreenDB","DB",2018-10-31 00:02:59,"Brown","Dropped",2018-10-31 00:02:49,0,NA,10,1,1
18684,"GreenDB","DB",2018-10-31 00:04:59,"Brown","Dropped",2018-10-31 00:02:49,0,NA,130,1,1
18684,"GreenDB","DB",2018-10-31 00:05:08,"Brown","Consumed",2018-10-31 00:02:49,0,NA,139,0,1
18685,"GreenDB","Water",2018-10-31 00:02:45,"Brown","Consumed",2018-10-31 00:02:39,0,NA,6,0,1
18686,"BrownDB","DB",2018-10-31 00:02:06,"Green","Consumed",2018-10-31 00:02:04,0,NA,2,0,1
