Wavelength	Paint	Reflectance	LowCI	UpperCI
440	Green	11.755	11.62273369	11.88726631
441	Green	11.93866667	11.80585531	12.07147802
442	Green	12.154	12.01936377	12.28863623
443	Green	12.19966667	12.0649522	12.33438113
444	Green	12.0695	11.93658118	12.20241882
445	Green	11.94466667	11.81168163	12.0776517
446	Green	12.00866667	11.8739126	12.14342073
447	Green	12.20733333	12.06917592	12.34549075
448	Green	12.542	12.40006613	12.68393387
449	Green	12.866	12.72175086	13.01024914
450	Green	12.988	12.84274456	13.13325544
451	Green	12.97833333	12.83365801	13.12300866
452	Green	12.958	12.81377564	13.10222436
453	Green	12.90033333	12.75520066	13.04546601
454	Green	12.949	12.80243912	13.09556088
455	Green	13.05133333	12.9043393	13.19832736
456	Green	13.076	12.92844177	13.22355823
457	Green	12.96233333	12.81671391	13.10795275
458	Green	12.68066667	12.53714379	12.82418955
459	Green	12.646	12.50114798	12.79085202
460	Green	12.75933333	12.61355902	12.90510765
461	Green	12.959	12.81072436	13.10727564
462	Green	13.34933333	13.19795893	13.50070774
463	Green	13.50533333	13.35457909	13.65608758
464	Green	13.482	13.33278466	13.63121534
